Chromosome;Start;End;Name;Length;Strand;Half-life (h);k (cpm/h);stderror Half-life;stderror k;Rsquare
chr4;135962361;135962617;Hmgcl;256;+;3.612177344;0.191891791;0.83746947;0.057917274;0.860598879
chr13;119707827;119708260;Hmgcs1;433;+;3.031320306;0.228661808;0.36318041;0.031124863;0.968671941
chr8;75031721;75031978;Hmgxb4;257;+;2.141682956;0.323646027;0.54557124;0.11062632;0.813332958
chr8;75100342;75100593;Hmox1;251;+;2.429230078;0.285336159;0.324940054;0.044061012;0.959820149
chr15;103244339;103244589;Hnrnpa1;250;+;8.595642009;0.080639373;2.866491102;0.04034665;0.798400866
chr15;103244702;103244962;Hnrnpa1;260;+;10.16567326;0.068185074;3.17542337;0.030974068;0.904369826
chr2;75665508;75665771;Hnrnpa3;263;+;8.025601419;0.086367008;2.447369001;0.037892279;0.877998918
chr2;75665828;75666122;Hnrnpa3;294;+;8.944258954;0.077496323;2.60838179;0.031904027;0.909505787
chr2;75669157;75669407;Hnrnpa3;250;+;4.311448914;0.160768965;1.120265532;0.056437976;0.777640122
chr6;117924901;117925151;Hnrnpf;250;+;3.471121554;0.199689688;0.500840679;0.033671132;0.952470571
chr6;117925367;117925622;Hnrnpf;255;+;3.997329125;0.173402579;0.54828856;0.027565536;0.963999697
chr11;50386278;50386529;Hnrnph1;251;+;4.62397344;0.149902933;0.818268339;0.032230775;0.943036759
chrX;134606807;134607057;Hnrnph2;250;+;4.369558938;0.158630926;0.566094007;0.023610055;0.966889084
chr7;28821992;28822266;Hnrnpl;274;+;8.057136856;0.086028969;2.345956461;0.035337742;0.900402352
chr19;8833891;8834142;Hnrnpul2;251;+;4.871626811;0.142282487;1.230136735;0.048064641;0.864907862
chr4;96024998;96025411;Hook1;413;+;5.637487305;0.122953214;2.473653283;0.096131345;0.657058782
chr8;85003098;85003364;Hook2;266;+;6.153835806;0.112636606;2.639703985;0.084609034;0.665692461
chr12;17791676;17791929;Hpcal1;253;+;2.193342629;0.316023211;0.532969911;0.101441598;0.810494526
chr8;60907322;60907582;Hpf1;260;+;6.23773117;0.111121682;2.055247418;0.054604528;0.819914432
chrX;53021404;53021663;Hprt;259;+;9.555752204;0.072537166;2.106545768;0.020512636;0.952807151
chr5;112378156;112378424;Hps4;268;+;2.185996063;0.317085283;0.738513358;0.161778594;0.680780733
chr12;8343564;8343824;Hs1bp3;260;+;1.870623823;0.37054333;0.497596791;0.134288086;0.746614974
chr1;36106195;36106446;Hs6st1;251;+;1.815544829;0.381784668;0.381845816;0.101683043;0.881901664
chr8;119348489;119348929;Hsbp1;440;+;4.471634975;0.155009786;1.282197122;0.062316029;0.822820982
chr7;45567070;45567321;Hsd17b14;251;+;6.244017074;0.111009815;1.655766885;0.040060234;0.885836581
chr15;76500674;76501155;Hsf1;481;+;3.954854152;0.175264916;1.280607302;0.083928502;0.789732661
chr10;57512885;57513143;Hsf2;258;+;2.938874119;0.235854668;0.884891812;0.101610352;0.78138018
chr2;34776205;34776529;Hspa5;324;+;3.827419322;0.181100403;0.613382158;0.034562063;0.94896259
chr9;40804949;40805201;Hspa8;252;+;3.564052909;0.194482854;0.429744508;0.026665512;0.970506109
chr5;135889313;135889565;Hspb1;252;+;7.543846119;0.091882465;1.676811069;0.026260204;0.939398105
chr16;35826177;35826503;Hspbap1;326;+;1.539585638;0.45021671;0.413872288;0.165523683;0.775737402
chr1;55090986;55091317;Hspe1;331;+;8.097319396;0.085602055;2.116853613;0.030299817;0.905127796
chr4;137570376;137570630;Hspg2;254;+;5.530127081;0.12534019;0.993941589;0.027463786;0.942422638
chrX;57066922;57067182;Htatsf1;260;+;6.258325562;0.110756012;1.340448201;0.030188369;0.925861884
chr7;130985407;130985659;Htra1;252;+;5.105183777;0.135773208;1.569055853;0.060245487;0.793499243
chrX;151934634;151934894;Huwe1;260;+;5.208937631;0.133068819;1.03060596;0.032822076;0.928877966
chrX;151935167;151935417;Huwe1;250;+;5.357519351;0.129378381;2.14820794;0.086601651;0.67651745
chr9;107572528;107572779;Hyal2;251;+;2.299083537;0.301488471;0.554995162;0.095938168;0.836065553
chr9;44392109;44392369;Hyou1;260;+;5.533624511;0.125260971;1.685552161;0.054867446;0.843418255
chr2;121458065;121458440;Hypk;375;+;11.03129531;0.062834614;5.6177241;0.06520419;0.733052383
chr13;49733997;49734267;Iars;270;+;5.522234045;0.125519341;1.34145943;0.040274619;0.894166367
chr9;69432823;69433074;Ice2;251;+;3.682405531;0.188232169;1.173517396;0.08804447;0.774760819
chr4;152306820;152307126;Icmt;306;+;4.892082291;0.141687555;1.941246935;0.093211074;0.688423286
chr2;152737160;152737412;Id1;252;+;1.544446932;0.44879961;0.195426722;0.065015658;0.964772038
chr4;136145136;136145392;Id3;256;+;1.721439462;0.402655566;0.260678908;0.071855591;0.938352785
chr13;8892119;8892396;Idi1;277;+;3.472993451;0.199582058;0.618383465;0.043234713;0.921082479
chr17;35822660;35822916;Ier3;256;+;2.358256014;0.293923635;0.93930241;0.194568151;0.61827816
chr18;76940475;76940725;Ier3ip1;250;+;4.255394466;0.162886704;0.886465841;0.042860362;0.905697184
chr18;76941357;76941614;Ier3ip1;257;+;3.784037649;0.183176608;0.757897622;0.045876633;0.917649415
chr7;140969562;140969827;Ifitm1;265;+;10.12518752;0.068457713;4.123059949;0.047025867;0.80685807
chr9;107592772;107593038;Ifrd2;266;+;5.161170855;0.134300375;1.2724668;0.043945943;0.852360315
chr11;78541223;78541732;Ift20;509;+;5.092406576;0.136113873;1.427342379;0.053008921;0.854532165
chr9;44790638;44790897;Ift46;259;+;4.139267111;0.167456499;1.087732966;0.059690617;0.762511311
chr2;163045643;163046154;Ift52;511;+;3.704552462;0.18710686;0.798258587;0.051391795;0.887327414
chr14;57517686;57517936;Ift88;250;+;4.373852229;0.158475217;1.474488645;0.080593517;0.673958664
chrX;100515749;100516125;Igbp1;376;+;5.0282973;0.137849284;1.167326858;0.04167739;0.859789544
chr9;65186779;65187029;Igdcc3;250;+;6.922959314;0.10012296;2.903359299;0.072318869;0.662186498
chr1;72852221;72852476;Igfbp2;255;+;9.6756913;0.071638001;3.390606999;0.038646468;0.867996742
chr1;172319583;172319843;Igsf8;260;+;5.09693292;0.135992996;1.906179714;0.081243228;0.654036065
chr1;172498627;172498877;Igsf9;250;+;2.555214044;0.271267756;0.662416707;0.094934777;0.847338273
chr18;36757386;36757639;Ik;253;+;5.024001626;0.137967149;1.234426136;0.044941776;0.879635336
chr14;57542907;57543166;Il17d;259;+;4.257506006;0.16280592;1.57536947;0.095625063;0.6744666
chr14;27107034;27107286;Il17rd;252;+;2.042128477;0.339423885;0.464133235;0.099834208;0.86869151
chr13;112509095;112509345;Il6st;250;+;2.510483991;0.276101016;0.8174466;0.133309423;0.723142411
chr3;90487717;90487967;Ilf2;250;+;7.390402479;0.09379018;3.016763406;0.06469276;0.751071752
chr3;90488129;90488379;Ilf2;250;+;5.565349771;0.124546921;1.90107416;0.064616573;0.791772361
chr9;21401553;21401803;Ilf3;250;+;3.796500009;0.182575314;0.924302149;0.058754572;0.853505378
chr9;21405106;21405363;Ilf3;257;+;3.492028974;0.198494109;0.526088381;0.035208205;0.94781275
chr10;78584229;78584502;Ilvbl;273;+;1.040423455;0.666216411;0.301957595;0.272414903;0.653137123
chr6;71875000;71875266;Immt;266;+;7.381596527;0.093902068;2.690598948;0.053859078;0.822330006
chr9;56938148;56938399;Imp3;251;+;2.531105715;0.273851533;0.372647524;0.047279163;0.94539263
chr1;34444708;34444958;Imp4;250;+;4.041823089;0.171493696;0.900660356;0.049172102;0.886960566
chr1;34445488;34445747;Imp4;259;+;3.934476751;0.176172646;1.372829652;0.094413876;0.713252042
chr18;67318591;67318841;Impa2;250;+;5.051198889;0.13722429;1.354906474;0.050300695;0.874832246
chr18;12992698;12992948;Impact;250;+;3.219600768;0.215289792;0.729976642;0.063124597;0.872107863
chr9;108565316;108565576;Impdh2;260;+;7.872493357;0.088046715;3.449695714;0.068674717;0.731726273
chr8;11563001;11563252;Ing1;251;+;3.3489678;0.206973379;1.005012378;0.0887435;0.813902371
chr6;21974288;21974538;Ing3;250;+;3.03194018;0.228615058;0.913278752;0.09854773;0.770348597
chr1;93821850;93822102;Ing5;252;+;2.094296924;0.330968915;0.271148153;0.049223416;0.952508411
chr7;139579396;139579652;Inpp5a;256;+;6.046885361;0.114628795;2.435682231;0.077314764;0.727808415
chr4;124801247;124801511;Inpp5b;264;+;3.767292874;0.183990787;1.167401101;0.08261538;0.741789893
chr1;87720251;87720510;Inpp5d;259;+;2.676695204;0.258956335;0.60215577;0.07516466;0.862404552
chr11;75648615;75648871;Inpp5k;256;+;5.394809654;0.128484085;2.239731029;0.091208437;0.657234972
chr5;28078411;28078662;Insig1;251;+;3.209009507;0.216000351;0.657090422;0.055617658;0.910691868
chr4;155888621;155889103;Ints11;482;+;5.093819482;0.136076118;1.409660231;0.05206645;0.846298727
chr9;64986405;64986655;Ints14;250;+;2.940681995;0.235709669;1.105551707;0.142000396;0.691790431
chr19;8897631;8897890;Ints5;259;+;2.548086588;0.272026541;0.455780964;0.059257365;0.925082655
chr1;191622428;191622678;Ints7;250;+;5.179058803;0.133836515;1.737566872;0.067572407;0.800432804
chr14;65039585;65039836;Ints9;251;+;5.231537641;0.132493968;1.773041817;0.067924716;0.800778701
chr9;108048530;108048782;Ip6k1;252;+;2.830953314;0.244845854;0.836677562;0.10272252;0.794746988
chr10;71385633;71385885;Ipmk;252;+;2.886836013;0.240106185;0.866517987;0.102981969;0.743751199
chr14;120947165;120947415;Ipo5;250;+;5.83837529;0.118722615;1.305016899;0.034176653;0.911167019
chr14;120947794;120948044;Ipo5;250;+;8.866406717;0.078176786;3.786061973;0.05826025;0.738905726
chr7;110055865;110056119;Ipo7;254;+;3.176839742;0.218187645;0.887295711;0.084556994;0.809789838
chr7;110056352;110056605;Ipo7;253;+;2.386254444;0.290474967;0.599756711;0.09751723;0.811573908
chr13;49462736;49463061;Ippk;325;+;1.799797961;0.385124995;0.445161102;0.126559872;0.831114555
chr16;36872422;36872715;Iqcb1;293;+;3.470775909;0.199709575;1.231802437;0.109873004;0.686511668
chr3;88120798;88121049;Iqgap3;251;+;2.904323479;0.238660461;0.806553676;0.091760532;0.812710113
chr9;54912280;54912534;Ireb2;254;+;3.622591804;0.191340128;0.833395448;0.057171304;0.882221209
chr11;53777071;53777324;Irf1;253;+;1.231085054;0.563037605;0.208671488;0.114914257;0.918039113
chr7;19006330;19006774;Irf2bp1;444;+;1.943105162;0.356721393;0.393140395;0.090480501;0.894783734
chr7;45002136;45002389;Irf3;253;+;1.79959696;0.38516801;0.461654374;0.13290144;0.781271039
chr14;55609779;55610030;Irf9;251;+;0.978312717;0.7085129;0.251273298;0.244870317;0.713823366
chr7;24538350;24538602;Irgq;252;+;2.972605521;0.233178326;1.188506365;0.155335495;0.617380615
chr12;84774836;84775089;Isca2;253;+;4.366134783;0.158755333;1.540072004;0.086514229;0.73450961
chr5;113778019;113778282;Iscu;263;+;6.315812363;0.109747906;1.732991201;0.041501108;0.876660734
chr3;87940436;87940686;Isg20l2;250;+;3.403297163;0.203669309;0.789648424;0.061533574;0.884038988
chr18;58680115;58680365;Isoc1;250;+;7.447256107;0.09307417;2.433500753;0.045174933;0.816960608
chr7;4895460;4895716;Isoc2a;256;+;5.80525145;0.119400027;2.121720478;0.068774631;0.678611938
chr8;70597039;70597290;Isyna1;251;+;6.012813026;0.115278353;1.846394862;0.051086893;0.801508285
chr2;71857969;71858427;Itga6;458;+;3.063865606;0.226232893;0.758085291;0.074379952;0.829308508
chr8;128732356;128732611;Itgb1;255;+;5.163158287;0.134248679;1.744788985;0.068522619;0.765945342
chr8;128732942;128733195;Itgb1;253;+;5.853318263;0.118419527;1.732591488;0.049790407;0.826188824
chr16;33948895;33949338;Itgb5;443;+;3.460553406;0.200299518;0.601327452;0.042125247;0.922837753
chr1;85908448;85908698;Itm2c;250;+;3.94225229;0.17582517;0.920502772;0.053560878;0.869569454
chr2;130681363;130681614;Itpa;251;+;4.668394273;0.148476572;0.742198214;0.028067637;0.954568528
chr2;119751002;119751262;Itpka;260;+;3.324504624;0.20849638;1.329559547;0.138955381;0.603805608
chr17;27121967;27122223;Itpr3;256;+;5.027991302;0.137857673;1.491067442;0.058116911;0.809961496
chr1;151364003;151364445;Ivns1abp;442;+;3.917316941;0.176944371;1.433308443;0.102099433;0.675332992
chr18;32097270;32097520;Iws1;250;+;3.034959;0.228387659;1.148682955;0.139080922;0.639848214
chr3;41616603;41616864;Jade1;261;+;1.965498316;0.352657224;0.310116983;0.066066345;0.944553717
chrX;20519687;20519939;Jade3;252;+;3.364573021;0.206013416;0.757429005;0.059851138;0.874020853
chr6;113447959;113448229;Jagn1;270;+;2.014549691;0.34407053;0.282732955;0.05617227;0.950176544
chr16;84822636;84823157;Jam2;521;+;4.981743976;0.139137455;1.250048369;0.04660845;0.879250417
chr16;84824708;84825017;Jam2;309;+;4.352063165;0.15926864;0.920497227;0.042722869;0.908375353
chr16;84825676;84825931;Jam2;255;+;2.458764435;0.281908739;0.478822072;0.068175786;0.877463565
chr16;84826125;84826375;Jam2;250;+;2.406684369;0.288009175;0.333193389;0.046280767;0.952154229
chr13;44920049;44920299;Jarid2;250;+;6.128594703;0.113100509;2.583877181;0.082443191;0.700666839
chr13;44921020;44921270;Jarid2;250;+;3.753531732;0.184665331;0.614976537;0.036183798;0.936135769
chr13;44921389;44921643;Jarid2;254;+;3.481219682;0.199110439;0.59018022;0.040646641;0.933592186
chr12;72101209;72101529;Jkamp;320;+;2.795686547;0.247934512;0.600366595;0.067804057;0.875287109
chr10;67256065;67256326;Jmjd1c;261;+;1.746508699;0.396875882;0.362134732;0.103817715;0.875344351
chr3;90235588;90235840;Jtb;252;+;2.883250406;0.24040478;0.698042349;0.076794847;0.847139057
chr8;70700366;70700618;Jund;252;+;3.012474999;0.23009226;0.55641493;0.052126888;0.928554982
chr17;53672470;53672721;Kat2b;251;+;2.869807356;0.241530909;0.621823501;0.066810798;0.872899017
chr8;22943001;22943262;Kat6a;261;+;2.712444159;0.255543392;0.755306538;0.098620349;0.815849356
chr14;21671876;21672478;Kat6b;602;+;1.77731626;0.389996534;0.202003111;0.05000943;0.969607137
chr7;127925461;127925762;Kat8;301;+;5.383141314;0.128762583;1.983554101;0.075128989;0.769438087
chr10;7762813;7763150;Katna1;337;+;3.907685695;0.177380484;0.796408977;0.045404965;0.905363628
chr8;95098804;95099058;Katnb1;254;+;6.333963668;0.1094334;2.960392779;0.096030544;0.660311857
chr2;112413084;112413334;Katnbl1;250;+;2.642215477;0.262335599;0.772372521;0.108362474;0.805847315
chr2;112413987;112414237;Katnbl1;250;+;2.758135407;0.251310062;0.601144351;0.070039059;0.893995616
chr14;79454566;79454819;Kbtbd6;253;+;1.384247004;0.50073952;0.38311658;0.191624995;0.801481917
chr14;79430788;79431038;Kbtbd7;250;+;1.558618752;0.444718877;0.456567285;0.18424193;0.711024719
chr6;95129409;95129793;Kbtbd8;384;+;2.151480506;0.322172187;0.629188565;0.13315912;0.743681139
chr11;115431024;115431275;Kctd2;251;+;3.578151016;0.193716581;0.895607489;0.064675193;0.86700653
chr17;28967687;28967937;Kctd20;250;+;3.271025308;0.211905172;0.880653101;0.07806941;0.802216934
chr17;28969300;28969550;Kctd20;250;+;2.538177717;0.273088514;0.720564029;0.108261597;0.796553185
chr14;67741909;67742310;Kctd9;401;+;2.69385748;0.257306552;1.046831555;0.163541213;0.656001799
chr7;45883476;45883726;Kdelr1;250;+;5.795430239;0.119602368;1.826166614;0.05502629;0.840960797
chr5;143421646;143421904;Kdelr2;258;+;4.668744748;0.148465427;1.212650099;0.052092501;0.875471941
chr15;79527395;79527739;Kdelr3;344;+;2.233341411;0.310363287;0.613866576;0.117644093;0.787539401
chr18;34838750;34839000;Kdm3b;250;+;2.823711601;0.245473787;0.596791298;0.065784402;0.876197192
chr6;120441506;120441756;Kdm5a;250;+;2.201060134;0.314915149;0.726458685;0.155142154;0.660658627
chr1;134631701;134632383;Kdm5b;682;+;3.153802414;0.219781422;0.687895268;0.061310743;0.901829417
chr1;134632628;134632882;Kdm5b;254;+;3.202604553;0.216432335;0.684281862;0.058809271;0.883892721
chrX;152273556;152273871;Kdm5c;315;+;3.75686922;0.18450128;0.722340564;0.043918768;0.921789129
chrX;152274277;152274530;Kdm5c;253;+;3.548605406;0.195329461;1.299195286;0.112816739;0.678270169
chrX;18279265;18279515;Kdm6a;250;+;3.12269156;0.221971068;1.115594992;0.123377129;0.697456823
chr15;69093262;69093518;Khdrbs3;256;+;4.093801546;0.169316263;1.469232988;0.094783212;0.644867676
chr19;37420375;37420628;Kif11;253;+;3.395298647;0.204149105;1.025679847;0.088365109;0.669559986
chr19;37421609;37421859;Kif11;250;+;2.415868864;0.286914241;0.496431707;0.074205777;0.886060793
chr1;136529326;136529578;Kif14;252;+;3.087980852;0.224466152;1.022518459;0.111123197;0.746114215
chr9;123018483;123018735;Kif15;252;+;3.941463467;0.175860359;0.912965076;0.053014513;0.88811848
chr2;109341494;109341748;Kif18a;254;+;1.818691763;0.381124056;0.544694434;0.162948656;0.787476086
chr11;70729246;70729499;Kif1c;253;+;3.719478725;0.186356001;1.078917527;0.076143948;0.773882294
chr18;34632554;34632804;Kif20a;250;+;4.024624284;0.172226556;1.120252186;0.06642991;0.849335595
chr2;153333137;153333389;Kif3b;252;+;1.863133617;0.372032995;0.62390551;0.187304851;0.605279604
chrX;100726960;100727271;Kif4;311;+;2.146856185;0.322866145;0.582651481;0.12026459;0.730032184
chr17;26932032;26932288;Kifc5b;256;+;2.377507197;0.291543673;0.619841556;0.102813004;0.828503626
chr2;10092444;10092701;Kin;257;+;2.020015124;0.3431396;0.674583016;0.172045951;0.692903011
chr5;75656469;75656721;Kit;252;+;3.917498265;0.176936181;1.307697976;0.088657774;0.763461345
chr12;111794646;111794899;Klc1;253;+;4.777892629;0.145073829;1.421130166;0.061418941;0.819222008
chr12;111806525;111806775;Klc1;250;+;2.199787107;0.315097392;0.356162863;0.060872485;0.933913082
chr8;72321096;72321349;Klf2;253;+;1.478419994;0.468843213;0.185895878;0.067430866;0.961793172
chr5;64829879;64830129;Klf3;250;+;2.174944527;0.318696487;0.785542337;0.180185108;0.689341195
chr14;99313159;99313409;Klf5;250;+;2.106233627;0.329093208;0.263737566;0.04710688;0.962095762
chr14;99314777;99315027;Klf5;250;+;2.256906434;0.307122692;0.416639299;0.069533048;0.919658197
chr13;5870143;5870393;Klf6;250;+;2.036331253;0.340390189;0.672358342;0.167792323;0.73452671
chrX;153395546;153396134;Klf8;588;+;3.343230949;0.207328537;1.0641535;0.096806446;0.761560913
chr19;23167873;23168129;Klf9;256;+;1.692307049;0.409587126;0.159246;0.042545671;0.977390896
chr6;30451157;30451407;Klhdc10;250;+;4.424468144;0.15666226;1.636098368;0.09192284;0.654978182
chr6;30454924;30455174;Klhdc10;250;+;2.024157469;0.34243738;0.494847877;0.110804517;0.795746514
chr12;69310214;69310687;Klhdc2;473;+;4.160769229;0.166591114;0.832058268;0.041641799;0.895719507
chr1;134490623;134490873;Klhl12;250;+;3.228726617;0.214681285;0.935869685;0.087625924;0.82330411
chr4;152017427;152017679;Klhl21;252;+;2.028117803;0.341768698;0.492713773;0.109674158;0.862461923
chr16;17793130;17793382;Klhl22;252;+;3.692831757;0.18770072;1.038850314;0.07347186;0.826342093
chr5;24160535;24160789;Klhl7;254;+;3.770445707;0.183836935;1.026304329;0.068754709;0.843964112
chr5;124462037;124462311;Kmt5a;274;+;4.039539469;0.171590644;0.748198519;0.039006553;0.926032056
chr7;4747263;4747514;Kmt5c;251;+;4.2848311;0.161767679;0.988347519;0.04850098;0.88728014
chr2;119105252;119105502;Knl1;250;+;1.343118431;0.516073017;0.325778913;0.165260175;0.761031282
chr2;118834397;118834647;Knstrn;250;+;2.987890566;0.231985464;0.659054574;0.065651288;0.881858246
chr5;123821333;123821593;Kntc1;260;+;3.282221122;0.211182353;0.698443551;0.057086552;0.867977396
chr16;36035766;36036162;Kpna1;396;+;2.28234754;0.303699226;0.609045244;0.110539841;0.768783041
chr16;36036858;36037114;Kpna1;256;+;1.640900591;0.422418752;0.2704486;0.083361227;0.933642561
chr6;71285066;71285319;Krcc1;253;+;3.957622484;0.175142319;1.259630156;0.081769894;0.769370014
chr5;3841032;3841444;Krit1;412;+;3.454475774;0.200651915;1.19661279;0.106340664;0.678480575
chr10;111985849;111986120;Krr1;271;+;3.694116495;0.187635442;1.168382301;0.086798496;0.797062794
chr3;89249472;89249729;Krtcap2;257;+;7.443699733;0.093118638;3.502104227;0.08273583;0.661115826
chr4;108849162;108849412;Kti12;250;+;1.749818259;0.396125242;0.40017057;0.117451143;0.832310306
chr14;47736307;47736564;Ktn1;257;+;4.239556922;0.163495194;1.641902626;0.103340613;0.616972696
chr3;142744086;142744526;Kyat3;440;+;4.394197616;0.157741468;1.573436561;0.087989088;0.725758401
chr4;98738214;98738487;L1td1;273;+;3.942948668;0.175794117;0.596762275;0.031351301;0.954865302
chr15;81688065;81688315;L3mbtl2;250;+;3.595556123;0.192778852;0.641631035;0.04187408;0.931624575
chr12;31329387;31329643;Lamb1;256;+;7.25464917;0.095545238;2.978800859;0.066562286;0.652431727
chr8;13175088;13175340;Lamp1;252;+;7.025786225;0.098657596;1.529812546;0.02746149;0.937867459
chr7;101911641;101911903;Lamtor1;262;+;3.99038223;0.173704458;0.654415049;0.034075518;0.944583939
chr3;137928511;137928762;Lamtor3;251;+;4.617644242;0.150108398;1.997017076;0.11438828;0.651891362
chr5;138259136;138259395;Lamtor4;259;+;8.656022117;0.080076873;4.265170296;0.077784793;0.663866932
chr3;107283829;107284081;Lamtor5;252;+;5.817207856;0.119154618;2.2194167;0.073504475;0.749139649
chr6;57739188;57739449;Lancl2;261;+;4.962724707;0.139670689;1.613475251;0.067285284;0.783880278
chr5;45512029;45512283;Lap3;254;+;6.023396111;0.115075809;1.184110649;0.028157564;0.932659883
chr5;45512426;45512691;Lap3;265;+;7.124272552;0.097293748;3.21768201;0.080136462;0.701351803
chr12;8938477;8938741;Laptm4a;264;+;5.703929368;0.121520996;1.538099233;0.044867732;0.885569038
chr15;34284045;34284303;Laptm4b;258;+;3.6721903;0.18875579;0.625025832;0.038717058;0.933828319
chr4;130935891;130936148;Laptm5;257;+;6.856508088;0.101093322;1.86363722;0.037734058;0.893919963
chr11;58061780;58062032;Larp1;252;+;3.640810587;0.190382654;0.445426823;0.026538766;0.967811465
chr15;100016013;100016358;Larp4;345;+;2.928867182;0.236660503;0.61504801;0.062907929;0.87197004
chr13;9174154;9174451;Larp4b;297;+;2.461794081;0.281561803;0.388962833;0.052834536;0.93851154
chr11;97838506;97838766;Lasp1;260;+;4.273097811;0.162211869;0.81340394;0.038137413;0.932118445
chr19;8890492;8890759;Lbhd1;267;+;4.264305331;0.16254633;0.733353367;0.033759705;0.930700034
chr7;123430094;123430358;Lcmt1;264;+;7.832609843;0.088495048;3.328434616;0.065394876;0.743899096
chr12;8285504;8285759;Ldah;255;+;3.680413495;0.18833405;1.001974469;0.070453689;0.829727896
chr7;46855377;46855629;Ldha;252;+;9.771044569;0.070938903;3.589177126;0.041186954;0.862072454
chr9;21749667;21749918;Ldlr;251;+;1.689970834;0.410153339;0.256435359;0.073369526;0.946445048
chr1;180938150;180938401;Lefty1;251;+;1.488305469;0.465729109;0.226727222;0.083699499;0.944810618
chr1;180898754;180899108;Lefty2;354;+;3.574964116;0.193889269;0.4459181;0.027631021;0.968827716
chr9;75466182;75466438;Leo1;256;+;3.1230717;0.22194405;0.814604657;0.078318925;0.839285122
chr4;101659108;101659362;Leprot;254;+;3.781239423;0.183312164;0.942580985;0.060869091;0.852293638
chr14;47385544;47385798;Lgals3;254;+;6.913889471;0.100254305;2.610306664;0.060808515;0.72696144
chr2;110014007;110014257;Lgr4;250;+;4.944406565;0.140188144;2.149786126;0.107840952;0.651472258
chr5;65408957;65409207;Lias;250;+;3.988565786;0.173783565;0.775319686;0.041931995;0.907527383
chr15;7197233;7197489;Lifr;256;+;2.632184537;0.263335329;0.803061995;0.115615324;0.770550779
chr7;13311169;13311427;Lig1;258;+;6.75702659;0.102581686;1.443712459;0.027873085;0.933625689
chr10;58424434;58424691;Lims1;257;+;3.62141573;0.191402267;1.035389508;0.076633368;0.769778447
chr2;109900519;109901002;Lin7c;483;+;3.256811367;0.212830005;0.733479145;0.061865167;0.87459927
chr1;180690435;180690687;Lin9;252;+;2.519126761;0.275153752;1.053188204;0.197681332;0.603275128
chr11;60713696;60714188;Llgl1;492;+;4.806006881;0.144225174;1.283181863;0.052533727;0.857767966
chr11;115855503;115855780;Llgl2;277;+;4.439779512;0.156121983;0.997260225;0.045226833;0.878412275
chr10;120231413;120231663;Llph;250;+;4.493516009;0.154254971;1.79037454;0.102167857;0.656317668
chr18;56753174;56753425;Lmnb1;251;+;4.728187203;0.146598929;0.895758028;0.034264734;0.932883455
chr14;8091596;8091846;LOC109729085;250;+;2.993251546;0.231569973;1.084037125;0.131483633;0.686425588
chr14;73239531;73239781;Lpar6;250;+;2.336022157;0.29672115;0.616292619;0.106334776;0.810424533
chr13;73516172;73516422;Lpcat1;250;+;4.696457448;0.147589367;1.147010988;0.04769381;0.833352519
chr6;124703897;124704178;Lpcat3;281;+;5.798726011;0.119534391;1.88700072;0.057662915;0.800632854
chr5;137640252;137640502;Lrch4;250;+;2.071911446;0.33454479;0.573244917;0.127964492;0.781718411
chr5;137640827;137641099;Lrch4;272;+;2.749691352;0.252081813;0.779558939;0.0997459;0.797013294
chr14;54470029;54470291;Lrp10;262;+;2.517870155;0.275291075;0.727577518;0.111878691;0.775076307
chr10;7625227;7625477;Lrp11;250;+;2.915553095;0.237741231;0.796068885;0.089294554;0.789149532
chr12;69178754;69179010;Lrr1;256;+;3.846062979;0.180222525;1.206986529;0.082425107;0.731286151
chr15;76714786;76715096;Lrrc14;310;+;2.132334491;0.325064939;0.347450087;0.063277959;0.932553599
chr3;158066840;158067091;Lrrc40;251;+;3.77661219;0.183536764;0.428248759;0.023473973;0.972004375
chr4;154021260;154021512;Lrrc47;252;+;4.338667056;0.159760399;1.712588894;0.104187259;0.706362714
chr16;37888538;37888857;Lrrc58;319;+;2.482847918;0.27917424;0.438192138;0.059830099;0.906743968
chr11;94643618;94643877;Lrrc59;259;+;5.0142073;0.138236642;1.285625589;0.047664388;0.879770616
chr11;94644966;94645217;Lrrc59;251;+;6.120964281;0.113241501;1.620889805;0.040788657;0.883350681
chr2;30263540;30263792;Lrrc8a;252;+;2.868227688;0.241663932;0.559676642;0.058588117;0.895799596
chr5;105814480;105814734;Lrrc8d;254;+;2.568073682;0.269909382;0.758960242;0.113232529;0.767875148
chr9;111223970;111224258;Lrrfip2;288;+;4.78984371;0.144711858;1.780815235;0.085643949;0.73181524
chr8;25802281;25802531;Lsm1;250;+;2.366684246;0.292876915;0.455334669;0.069771126;0.907359199
chr4;126098327;126098584;Lsm10;257;+;2.930903153;0.236496105;0.80354066;0.089328564;0.831822735
chr2;180035210;180035461;Lsm14b;251;+;3.92292862;0.176691255;1.24148561;0.081806568;0.748217536
chr17;34985641;34985893;Lsm2;252;+;4.046083192;0.171313131;0.656155408;0.033159419;0.943629288
chr6;91522370;91522625;Lsm3;255;+;5.421337081;0.127855393;1.223400061;0.037260753;0.917686719
chr8;70678493;70678752;Lsm4;259;+;11.27022052;0.061502539;5.294318435;0.054487845;0.783669502
chr6;18853634;18854059;Lsm8;425;+;4.495339737;0.154192391;0.723013211;0.029552886;0.952007402
chr10;76553682;76553935;Lss;253;+;2.671415453;0.259468133;0.791406159;0.109225353;0.731887687
